year,city,country,avg_temp,7ÈÕ¾ùÖµ
1968,Shanghai,China,16.13,16.23 
1969,Shanghai,China,15.64,16.17 
1970,Shanghai,China,15.82,16.11 
1971,Shanghai,China,16.22,16.06 
1972,Shanghai,China,15.71,16.01 
1973,Shanghai,China,16.32,15.98 
1974,Shanghai,China,15.93,15.97 
1975,Shanghai,China,16.48,16.02 
1976,Shanghai,China,15.71,16.03 
1977,Shanghai,China,16.17,16.08 
1978,Shanghai,China,16.67,16.14 
1979,Shanghai,China,16.54,16.26 
1980,Shanghai,China,15.57,16.15 
1981,Shanghai,China,15.91,16.15 
1982,Shanghai,China,16.2,16.11 
1983,Shanghai,China,16.22,16.18 
1984,Shanghai,China,15.8,16.13 
1985,Shanghai,China,16.04,16.04 
1986,Shanghai,China,15.94,15.95 
1987,Shanghai,China,16.19,16.04 
1988,Shanghai,China,16.17,16.08 
1989,Shanghai,China,16.24,16.09 
1990,Shanghai,China,17.26,16.23 
1991,Shanghai,China,16.14,16.28 
1992,Shanghai,China,16.14,16.30 
1993,Shanghai,China,15.98,16.30 
1994,Shanghai,China,17.34,16.47 
1995,Shanghai,China,16.36,16.49 
1996,Shanghai,China,16.21,16.49 
1997,Shanghai,China,16.76,16.42 
1998,Shanghai,China,17.56,16.62 
1999,Shanghai,China,16.68,16.70 
2000,Shanghai,China,16.9,16.83 
2001,Shanghai,China,16.93,16.77 
2002,Shanghai,China,17.22,16.89 
2003,Shanghai,China,16.74,16.97 
2004,Shanghai,China,17.24,17.04 
2005,Shanghai,China,16.75,16.92 
2006,Shanghai,China,17.41,17.03 
2007,Shanghai,China,17.63,17.13 
2008,Shanghai,China,16.72,17.10 
2009,Shanghai,China,17.01,17.07 
2010,Shanghai,China,16.75,17.07 
2011,Shanghai,China,16.52,16.97 
2012,Shanghai,China,16.47,16.93 
2013,Shanghai,China,17.86,16.99 
,,,,15.97 
